waktu,komentar,cleaning,case_folding,normalisasi,tokenize,stopword_removal,steming_data,Score,Sentiment
2 bulan lalu,Suasana adem dan ramah anak..meskipun libur lebaran,Suasana adem dan ramah anakmeskipun libur lebaran,suasana adem dan ramah anakmeskipun libur lebaran,suasana adem dan ramah anakmeskipun libur lebaran,"['suasana', 'adem', 'dan', 'ramah', 'anakmeskipun', 'libur', 'lebaran']","['suasana', 'adem', 'ramah', 'anakmeskipun', 'libur', 'lebaran']",suasana adem ramah anakmeskipun libur lebaran,14,Positif
2 bulan lalu,"Walaupun tidak begitu luas tapi fasilitas lumayan lengkap.. Banyak yang jual kuliner maupun barang sampai hewan seperti ayam, Bebek dan hamster.. Semoga tetap dijaga kebersihannya",Walaupun tidak begitu luas tapi fasilitas lumayan lengkap Banyak yang jual kuliner maupun barang sampai hewan seperti ayam Bebek dan hamster Semoga tetap dijaga kebersihannya,walaupun tidak begitu luas tapi fasilitas lumayan lengkap banyak yang jual kuliner maupun barang sampai hewan seperti ayam bebek dan hamster semoga tetap dijaga kebersihannya,walaupun tidak begitu luas tapi fasilitas lumayan lengkap banyak yang jual kuliner maupun barang sampai hewan seperti ayam bebek dan hamster semoga tetap dijaga kebersihannya,"['walaupun', 'tidak', 'begitu', 'luas', 'tapi', 'fasilitas', 'lumayan', 'lengkap', 'banyak', 'yang', 'jual', 'kuliner', 'maupun', 'barang', 'sampai', 'hewan', 'seperti', 'ayam', 'bebek', 'dan', 'hamster', 'semoga', 'tetap', 'dijaga', 'kebersihannya']","['luas', 'fasilitas', 'lumayan', 'lengkap', 'jual', 'kuliner', 'barang', 'hewan', 'ayam', 'bebek', 'hamster', 'semoga', 'dijaga', 'kebersihannya']",luas fasilitas lumayan lengkap jual kuliner barang hewan ayam bebek hamster moga jaga bersih,12,Positif
setahun lalu,"Disini datang bareng Keluarga Ceria, menikmati Festival Balon Wonosobo Tahun 2024 sebuah peristiwa yang sangat luar biasa, pantas kita kenang selamanya. …",Disini datang bareng Keluarga Ceria menikmati Festival Balon Wonosobo Tahun  sebuah peristiwa yang sangat luar biasa pantas kita kenang selamanya ,disini datang bareng keluarga ceria menikmati festival balon wonosobo tahun  sebuah peristiwa yang sangat luar biasa pantas kita kenang selamanya ,disini datang bareng keluarga ceria menikmati festival balon wonosobo tahun sebuah peristiwa yang sangat luar biasa pantas kita kenangan selamanya,"['disini', 'datang', 'bareng', 'keluarga', 'ceria', 'menikmati', 'festival', 'balon', 'wonosobo', 'tahun', 'sebuah', 'peristiwa', 'yang', 'sangat', 'luar', 'biasa', 'pantas', 'kita', 'kenangan', 'selamanya']","['bareng', 'keluarga', 'ceria', 'menikmati', 'festival', 'balon', 'wonosobo', 'peristiwa', 'kenangan']",bareng keluarga ceria nikmat festival balon wonosobo peristiwa kenang,19,Positif
3 bulan lalu,menyejukkan dan begitu indah pemandangan serta warganya ramah ramah,menyejukkan dan begitu indah pemandangan serta warganya ramah ramah,menyejukkan dan begitu indah pemandangan serta warganya ramah ramah,menyejukkan dan begitu indah pemandangan serta warganya ramah ramah,"['menyejukkan', 'dan', 'begitu', 'indah', 'pemandangan', 'serta', 'warganya', 'ramah', 'ramah']","['menyejukkan', 'indah', 'pemandangan', 'warganya', 'ramah', 'ramah']",sejuk indah pandang warga ramah ramah,14,Positif
setahun lalu,"Tiap hari yang kesini kebanyakan aktifitasnya bertema kaki. Ada yang hanya melakukan pijatan telapak kaki menggunakan batu2 di halaman alun-alun, ada yang mengayun-ayunkan kaki mengikuti irama musik senam, dan banyak juga yang berjalan, …",Tiap hari yang kesini kebanyakan aktifitasnya bertema kaki Ada yang hanya melakukan pijatan telapak kaki menggunakan batu di halaman alunalun ada yang mengayunayunkan kaki mengikuti irama musik senam dan banyak juga yang berjalan ,tiap hari yang kesini kebanyakan aktifitasnya bertema kaki ada yang hanya melakukan pijatan telapak kaki menggunakan batu di halaman alunalun ada yang mengayunayunkan kaki mengikuti irama musik senam dan banyak juga yang berjalan ,tiap hari yang kesini kebanyakan aktifitasnya bertema kaki ada yang hanya melakukan pijatan telapak kaki menggunakan batu di halaman alunalun ada yang mengayunayunkan kaki mengikuti irama musik senam dan banyak juga yang berjalan,"['tiap', 'hari', 'yang', 'kesini', 'kebanyakan', 'aktifitasnya', 'bertema', 'kaki', 'ada', 'yang', 'hanya', 'melakukan', 'pijatan', 'telapak', 'kaki', 'menggunakan', 'batu', 'di', 'halaman', 'alunalun', 'ada', 'yang', 'mengayunayunkan', 'kaki', 'mengikuti', 'irama', 'musik', 'senam', 'dan', 'banyak', 'juga', 'yang', 'berjalan']","['kesini', 'kebanyakan', 'aktifitasnya', 'bertema', 'kaki', 'pijatan', 'telapak', 'kaki', 'batu', 'halaman', 'alunalun', 'mengayunayunkan', 'kaki', 'mengikuti', 'irama', 'musik', 'senam', 'berjalan']",kesini banyak aktifitasnya tema kaki pijat telapak kaki batu halaman alunalun mengayunayunkan kaki ikut irama musik senam jalan,8,Positif
seminggu lalu,"polisi gila duit ya kali ditilang bukan dikasih surat tilang malah di suruh bayar .
aduhh aduh buat temen temen hati hati ya","polisi gila duit ya kali ditilang bukan dikasih surat tilang malah di suruh bayar 
aduhh aduh buat temen temen hati hati ya","polisi gila duit ya kali ditilang bukan dikasih surat tilang malah di suruh bayar 
aduhh aduh buat temen temen hati hati ya",polisi gila duit ya mungkin ditilang bukan dikasih surat tilang malah di suruh bayar aduh aduh buat teman teman hati hati ya,"['polisi', 'gila', 'duit', 'ya', 'mungkin', 'ditilang', 'bukan', 'dikasih', 'surat', 'tilang', 'malah', 'di', 'suruh', 'bayar', 'aduh', 'aduh', 'buat', 'teman', 'teman', 'hati', 'hati', 'ya']","['polisi', 'gila', 'duit', 'ya', 'ditilang', 'dikasih', 'surat', 'tilang', 'suruh', 'bayar', 'aduh', 'aduh', 'teman', 'teman', 'hati', 'hati', 'ya']",polisi gila duit ya tilang kasih surat tilang suruh bayar aduh aduh teman teman hati hati ya,10,Positif
seminggu lalu,"Tempat yang selalu sejuk di jantung Kota, berada sekitar kantor Pemerintahan Kabupaten.
Wonosobo kota yang sejuk nyaman dan memberi kesan damai","Tempat yang selalu sejuk di jantung Kota berada sekitar kantor Pemerintahan Kabupaten
Wonosobo kota yang sejuk nyaman dan memberi kesan damai","tempat yang selalu sejuk di jantung kota berada sekitar kantor pemerintahan kabupaten
wonosobo kota yang sejuk nyaman dan memberi kesan damai",tempat yang selalu sejuk di jantung kota berada sekitar kantor pemerintahan kabupaten wonosobo kota yang sejuk nyaman dan memberi kesan damai,"['tempat', 'yang', 'selalu', 'sejuk', 'di', 'jantung', 'kota', 'berada', 'sekitar', 'kantor', 'pemerintahan', 'kabupaten', 'wonosobo', 'kota', 'yang', 'sejuk', 'nyaman', 'dan', 'memberi', 'kesan', 'damai']","['sejuk', 'jantung', 'kota', 'kantor', 'pemerintahan', 'kabupaten', 'wonosobo', 'kota', 'sejuk', 'nyaman', 'kesan', 'damai']",sejuk jantung kota kantor perintah kabupaten wonosobo kota sejuk nyaman kesan damai,2,Positif
Diedit setahun lalu,"Pusatnya kab. wonosobo nih, buat olahraga, acara pesta rakyat, bahkan kabupaten duwe gawe pun disini. Sekitarnya ada pusat jajanan khas wonosobo, ada allure pujasera, bank, atm, gedung serbaguna, arpusda, dan masih banyak lagi..cuma …",Pusatnya kab wonosobo nih buat olahraga acara pesta rakyat bahkan kabupaten duwe gawe pun disini Sekitarnya ada pusat jajanan khas wonosobo ada allure pujasera bank atm gedung serbaguna arpusda dan masih banyak lagicuma ,pusatnya kab wonosobo nih buat olahraga acara pesta rakyat bahkan kabupaten duwe gawe pun disini sekitarnya ada pusat jajanan khas wonosobo ada allure pujasera bank atm gedung serbaguna arpusda dan masih banyak lagicuma ,pusatnya kab wonosobo nih buat olahraga acara pesta rakyat bahkan kabupaten duwe gawe pun disini sekitarnya ada pusat jajanan khas wonosobo ada allure pujasera bank atm gedung serbaguna arpusda dan masih banyak lagicuma,"['pusatnya', 'kab', 'wonosobo', 'nih', 'buat', 'olahraga', 'acara', 'pesta', 'rakyat', 'bahkan', 'kabupaten', 'duwe', 'gawe', 'pun', 'disini', 'sekitarnya', 'ada', 'pusat', 'jajanan', 'khas', 'wonosobo', 'ada', 'allure', 'pujasera', 'bank', 'atm', 'gedung', 'serbaguna', 'arpusda', 'dan', 'masih', 'banyak', 'lagicuma']","['pusatnya', 'kab', 'wonosobo', 'nih', 'olahraga', 'acara', 'pesta', 'rakyat', 'kabupaten', 'duwe', 'gawe', 'pusat', 'jajanan', 'khas', 'wonosobo', 'allure', 'pujasera', 'bank', 'atm', 'gedung', 'serbaguna', 'arpusda', 'lagicuma']",pusat kab wonosobo nih olahraga acara pesta rakyat kabupaten duwe gawe pusat jajan khas wonosobo allure pujasera bank atm gedung serbaguna arpusda lagicuma,14,Positif
3 tahun lalu,"Parkir luas,
Ada tempat mainan anak-anak (free)
Tidak terlalu banyak penjual makanan di dalam alun2., tapi kalo diluar alun alun …","Parkir luas
Ada tempat mainan anakanak free
Tidak terlalu banyak penjual makanan di dalam alun tapi kalo diluar alun alun ","parkir luas
ada tempat mainan anakanak free
tidak terlalu banyak penjual makanan di dalam alun tapi kalo diluar alun alun ",parkir luas ada tempat mainan anakanak free tidak terlalu banyak penjual makanan di dalam alun tapi kalau diluar alun alun,"['parkir', 'luas', 'ada', 'tempat', 'mainan', 'anakanak', 'free', 'tidak', 'terlalu', 'banyak', 'penjual', 'makanan', 'di', 'dalam', 'alun', 'tapi', 'kalau', 'diluar', 'alun', 'alun']","['parkir', 'luas', 'mainan', 'anakanak', 'free', 'penjual', 'makanan', 'alun', 'diluar', 'alun', 'alun']",parkir luas main anakanak free jual makan alun luar alun alun,12,Positif
2 tahun lalu,"Alun2 yang banyak fasilitas olahraganya. Tersedia 2 lapangan bola, lapangan basket, lapangan voli, dan beberapa alat fitness yang sayangnya sudah rusak. …",Alun yang banyak fasilitas olahraganya Tersedia  lapangan bola lapangan basket lapangan voli dan beberapa alat fitness yang sayangnya sudah rusak ,alun yang banyak fasilitas olahraganya tersedia  lapangan bola lapangan basket lapangan voli dan beberapa alat fitness yang sayangnya sudah rusak ,alun yang banyak fasilitas olahraganya tersedia lapangan bola lapangan basket lapangan voli dan beberapa alat fitness yang sayangnya sudah rusak,"['alun', 'yang', 'banyak', 'fasilitas', 'olahraganya', 'tersedia', 'lapangan', 'bola', 'lapangan', 'basket', 'lapangan', 'voli', 'dan', 'beberapa', 'alat', 'fitness', 'yang', 'sayangnya', 'sudah', 'rusak']","['alun', 'fasilitas', 'olahraganya', 'tersedia', 'lapangan', 'bola', 'lapangan', 'basket', 'lapangan', 'voli', 'alat', 'fitness', 'sayangnya', 'rusak']",alun fasilitas olahraga sedia lapang bola lapang basket lapang voli alat fitness sayang rusak,19,Positif
Diedit 2 bulan lalu,Pesta festival Balon Udara Lebaran Wonosobo...,Pesta festival Balon Udara Lebaran Wonosobo,pesta festival balon udara lebaran wonosobo,pesta festival balon udara lebaran wonosobo,"['pesta', 'festival', 'balon', 'udara', 'lebaran', 'wonosobo']","['pesta', 'festival', 'balon', 'udara', 'lebaran', 'wonosobo']",pesta festival balon udara lebaran wonosobo,0,Netral
setahun lalu,Tempatnya kurang terawat.. banyak rumput liar dan sampah yg berserakan dmana2. Saat sore dan pagi hari tempat ini ramai oleh para warga yg sedang berolahragan,Tempatnya kurang terawat banyak rumput liar dan sampah yg berserakan dmana Saat sore dan pagi hari tempat ini ramai oleh para warga yg sedang berolahragan,tempatnya kurang terawat banyak rumput liar dan sampah yg berserakan dmana saat sore dan pagi hari tempat ini ramai oleh para warga yg sedang berolahragan,tempatnya kurang terawat banyak rumput liar dan sampah yang berserakan dimana saat sore dan pagi hari tempat ini ramai oleh para warga yang sedang berolahragan,"['tempatnya', 'kurang', 'terawat', 'banyak', 'rumput', 'liar', 'dan', 'sampah', 'yang', 'berserakan', 'dimana', 'saat', 'sore', 'dan', 'pagi', 'hari', 'tempat', 'ini', 'ramai', 'oleh', 'para', 'warga', 'yang', 'sedang', 'berolahragan']","['tempatnya', 'terawat', 'rumput', 'liar', 'sampah', 'berserakan', 'dimana', 'sore', 'pagi', 'ramai', 'warga', 'berolahragan']",tempat awat rumput liar sampah sera mana sore pagi ramai warga berolahragan,4,Positif
2 bulan lalu,"Okee ajaa, bisa buat jogging, titik ketemuan, atau sekedar makan jajan atau nunggu orang. Udah jarang yang jualan kecuali ada event tertentu, tapi jadi gak bikin macet",Okee ajaa bisa buat jogging titik ketemuan atau sekedar makan jajan atau nunggu orang Udah jarang yang jualan kecuali ada event tertentu tapi jadi gak bikin macet,okee ajaa bisa buat jogging titik ketemuan atau sekedar makan jajan atau nunggu orang udah jarang yang jualan kecuali ada event tertentu tapi jadi gak bikin macet,okee saja bisa buat jogging titik ketemuan atau sekedar makan jajan atau menunggu orang sudah jarang yang jualan kecuali ada acara tertentu tapi jadi tidak bikin macet,"['okee', 'saja', 'bisa', 'buat', 'jogging', 'titik', 'ketemuan', 'atau', 'sekedar', 'makan', 'jajan', 'atau', 'menunggu', 'orang', 'sudah', 'jarang', 'yang', 'jualan', 'kecuali', 'ada', 'acara', 'tertentu', 'tapi', 'jadi', 'tidak', 'bikin', 'macet']","['okee', 'jogging', 'titik', 'ketemuan', 'sekedar', 'makan', 'jajan', 'menunggu', 'orang', 'jarang', 'jualan', 'kecuali', 'acara', 'bikin', 'macet']",okee jogging titik ketemu dar makan jajan tunggu orang jarang jual kecuali acara bikin macet,1,Positif
9 bulan lalu,"Pusat kota yang menjadi daya tarik bagi wisatawan dari luar wilayah wonosobo.

Pecinta kuliner malam wajib mampir karena banyak jajanan yang bisa dicicipi …","Pusat kota yang menjadi daya tarik bagi wisatawan dari luar wilayah wonosobo

Pecinta kuliner malam wajib mampir karena banyak jajanan yang bisa dicicipi ","pusat kota yang menjadi daya tarik bagi wisatawan dari luar wilayah wonosobo

pecinta kuliner malam wajib mampir karena banyak jajanan yang bisa dicicipi ",pusat kota yang menjadi daya tarik bagi wisatawan dari luar wilayah wonosobo pecinta kuliner malam wajib mampir karena banyak jajanan yang bisa dicicipi,"['pusat', 'kota', 'yang', 'menjadi', 'daya', 'tarik', 'bagi', 'wisatawan', 'dari', 'luar', 'wilayah', 'wonosobo', 'pecinta', 'kuliner', 'malam', 'wajib', 'mampir', 'karena', 'banyak', 'jajanan', 'yang', 'bisa', 'dicicipi']","['pusat', 'kota', 'daya', 'tarik', 'wisatawan', 'wilayah', 'wonosobo', 'pecinta', 'kuliner', 'malam', 'wajib', 'mampir', 'jajanan', 'dicicipi']",pusat kota daya tarik wisatawan wilayah wonosobo cinta kuliner malam wajib mampir jajan cicip,9,Positif
2 tahun lalu,"Sejukkkk bangetttt ademmmmm berrrr...
Kali pertama pagi2 ke Alun alun wonosobo😘😍❄️🆒
Karena saya org kebumen, kebetulan istri orang sana... Pas pagi subuh otw ke …","Sejukkkk bangetttt ademmmmm berrrr
Kali pertama pagi ke Alun alun wonosobo
Karena saya org kebumen kebetulan istri orang sana Pas pagi subuh otw ke ","sejukkkk bangetttt ademmmmm berrrr
kali pertama pagi ke alun alun wonosobo
karena saya org kebumen kebetulan istri orang sana pas pagi subuh otw ke ",sejukkkk banget ademmmmm berrrr mungkin pertama pagi ke alun alun wonosobo karena saya orang kebumen kebetulan istri orang sana pas pagi subuh otw ke,"['sejukkkk', 'banget', 'ademmmmm', 'berrrr', 'mungkin', 'pertama', 'pagi', 'ke', 'alun', 'alun', 'wonosobo', 'karena', 'saya', 'orang', 'kebumen', 'kebetulan', 'istri', 'orang', 'sana', 'pas', 'pagi', 'subuh', 'otw', 'ke']","['sejukkkk', 'banget', 'ademmmmm', 'berrrr', 'pagi', 'alun', 'alun', 'wonosobo', 'orang', 'kebumen', 'istri', 'orang', 'pas', 'pagi', 'subuh', 'otw']",sejukkkk banget ademmmmm berrrr pagi alun alun wonosobo orang kebumen istri orang pas pagi subuh otw,3,Positif
2 bulan lalu,Minus nya tempat parkir ngga ada iup²pan nya. No rekomendasi,Minus nya tempat parkir ngga ada iuppan nya No rekomendasi,minus nya tempat parkir ngga ada iuppan nya no rekomendasi,kekurangannya ya tempat parkir tidak ada sembarangan ya no rekomendasi,"['kekurangannya', 'ya', 'tempat', 'parkir', 'tidak', 'ada', 'sembarangan', 'ya', 'no', 'rekomendasi']","['kekurangannya', 'ya', 'parkir', 'sembarangan', 'ya', 'no', 'rekomendasi']",kurang ya parkir sembarang ya no rekomendasi,-6,Negatif
8 bulan lalu,"Pertama kali ke alun alun Wonosobo, suasana sejuk pohon rindang, banyak yang jualan kopian keliling dan anginnya dingin betah si kalo tinggal dikota ini.",Pertama kali ke alun alun Wonosobo suasana sejuk pohon rindang banyak yang jualan kopian keliling dan anginnya dingin betah si kalo tinggal dikota ini,pertama kali ke alun alun wonosobo suasana sejuk pohon rindang banyak yang jualan kopian keliling dan anginnya dingin betah si kalo tinggal dikota ini,pertama mungkin ke alun alun wonosobo suasana sejuk pohon rindang banyak yang jualan kopian keliling dan anginnya dingin betah sih kalau tinggal dikota ini,"['pertama', 'mungkin', 'ke', 'alun', 'alun', 'wonosobo', 'suasana', 'sejuk', 'pohon', 'rindang', 'banyak', 'yang', 'jualan', 'kopian', 'keliling', 'dan', 'anginnya', 'dingin', 'betah', 'sih', 'kalau', 'tinggal', 'dikota', 'ini']","['alun', 'alun', 'wonosobo', 'suasana', 'sejuk', 'pohon', 'rindang', 'jualan', 'kopian', 'keliling', 'anginnya', 'dingin', 'betah', 'sih', 'tinggal', 'dikota']",alun alun wonosobo suasana sejuk pohon rindang jual kopi keliling angin dingin betah sih tinggal kota,5,Positif
6 bulan lalu,Banyak penjual makanan. Rumputnya tinggi-tinggi mungkin karena musim hujan.,Banyak penjual makanan Rumputnya tinggitinggi mungkin karena musim hujan,banyak penjual makanan rumputnya tinggitinggi mungkin karena musim hujan,banyak penjual makanan rumputnya tinggitinggi mungkin karena musim hujan,"['banyak', 'penjual', 'makanan', 'rumputnya', 'tinggitinggi', 'mungkin', 'karena', 'musim', 'hujan']","['penjual', 'makanan', 'rumputnya', 'tinggitinggi', 'musim', 'hujan']",jual makan rumput tinggitinggi musim hujan,6,Positif
2 tahun lalu,"Alun alun ini jadi ruang publik yang cukup luas. Jika menghendaki aneka minukan dan makanan cukup ke arah barat.
Ada spot foto bagus di gedung arsip daerah. …","Alun alun ini jadi ruang publik yang cukup luas Jika menghendaki aneka minukan dan makanan cukup ke arah barat
Ada spot foto bagus di gedung arsip daerah ","alun alun ini jadi ruang publik yang cukup luas jika menghendaki aneka minukan dan makanan cukup ke arah barat
ada spot foto bagus di gedung arsip daerah ",alun alun ini jadi ruang publik yang cukup luas jika menghendaki aneka minukan dan makanan cukup ke arah barat ada spot foto bagus di gedung arsip daerah,"['alun', 'alun', 'ini', 'jadi', 'ruang', 'publik', 'yang', 'cukup', 'luas', 'jika', 'menghendaki', 'aneka', 'minukan', 'dan', 'makanan', 'cukup', 'ke', 'arah', 'barat', 'ada', 'spot', 'foto', 'bagus', 'di', 'gedung', 'arsip', 'daerah']","['alun', 'alun', 'ruang', 'publik', 'luas', 'aneka', 'minukan', 'makanan', 'arah', 'barat', 'spot', 'foto', 'bagus', 'gedung', 'arsip', 'daerah']",alun alun ruang publik luas aneka mu makan arah barat spot foto bagus gedung arsip daerah,5,Positif
setahun lalu,Kesini karena ada event festival balloon. Alun2 nya standar seperti alun2 pada umumnya. Berada di pusat kota yg strategis. Semoga tetap terjaga keasriannya.,Kesini karena ada event festival balloon Alun nya standar seperti alun pada umumnya Berada di pusat kota yg strategis Semoga tetap terjaga keasriannya,kesini karena ada event festival balloon alun nya standar seperti alun pada umumnya berada di pusat kota yg strategis semoga tetap terjaga keasriannya,kesini karena ada acara festival balloon alun ya standar seperti alun pada umumnya berada di pusat kota yang strategis semoga tetap terjaga keasriannya,"['kesini', 'karena', 'ada', 'acara', 'festival', 'balloon', 'alun', 'ya', 'standar', 'seperti', 'alun', 'pada', 'umumnya', 'berada', 'di', 'pusat', 'kota', 'yang', 'strategis', 'semoga', 'tetap', 'terjaga', 'keasriannya']","['kesini', 'acara', 'festival', 'balloon', 'alun', 'ya', 'standar', 'alun', 'pusat', 'kota', 'strategis', 'semoga', 'terjaga', 'keasriannya']",kesini acara festival balloon alun ya standar alun pusat kota strategis moga jaga asri,7,Positif
2 bulan lalu,"Alun2 yang nyaman di kota yang sejuk... Awas aja hati2 dengan helm atau barang bawaan, jangan ditinggal di parkiran motor kalau ga mau hilang. Mohon pemkot bisa bantu meminimalisir pergerakan maling... Setidaknya memperbanyak CCTV...",Alun yang nyaman di kota yang sejuk Awas aja hati dengan helm atau barang bawaan jangan ditinggal di parkiran motor kalau ga mau hilang Mohon pemkot bisa bantu meminimalisir pergerakan maling Setidaknya memperbanyak CCTV,alun yang nyaman di kota yang sejuk awas aja hati dengan helm atau barang bawaan jangan ditinggal di parkiran motor kalau ga mau hilang mohon pemkot bisa bantu meminimalisir pergerakan maling setidaknya memperbanyak cctv,alun yang nyaman di kota yang sejuk awas saja hati dengan helm atau barang bawaan jangan ditinggal di parkiran motor kalau tidak mau hilang mohon pemkot bisa bantu meminimalisir pergerakan maling setidaknya memperbanyak cctv,"['alun', 'yang', 'nyaman', 'di', 'kota', 'yang', 'sejuk', 'awas', 'saja', 'hati', 'dengan', 'helm', 'atau', 'barang', 'bawaan', 'jangan', 'ditinggal', 'di', 'parkiran', 'motor', 'kalau', 'tidak', 'mau', 'hilang', 'mohon', 'pemkot', 'bisa', 'bantu', 'meminimalisir', 'pergerakan', 'maling', 'setidaknya', 'memperbanyak', 'cctv']","['alun', 'nyaman', 'kota', 'sejuk', 'awas', 'hati', 'helm', 'barang', 'bawaan', 'ditinggal', 'parkiran', 'motor', 'hilang', 'mohon', 'pemkot', 'bantu', 'meminimalisir', 'pergerakan', 'maling', 'memperbanyak', 'cctv']",alun nyaman kota sejuk awas hati helm barang bawa tinggal parkir motor hilang mohon pemkot bantu meminimalisir gera maling banyak cctv,23,Positif
2 bulan lalu,Sama seperti alun alun kota pada umumnya. Cukup bersih dan ada playground kecil untuk anak. Beberapa penjual menjajakan dagangannya di area alun alun. …,Sama seperti alun alun kota pada umumnya Cukup bersih dan ada playground kecil untuk anak Beberapa penjual menjajakan dagangannya di area alun alun ,sama seperti alun alun kota pada umumnya cukup bersih dan ada playground kecil untuk anak beberapa penjual menjajakan dagangannya di area alun alun ,sama seperti alun alun kota pada umumnya cukup bersih dan ada playground kecil untuk anak beberapa penjual menjajakan dagangannya di area alun alun,"['sama', 'seperti', 'alun', 'alun', 'kota', 'pada', 'umumnya', 'cukup', 'bersih', 'dan', 'ada', 'playground', 'kecil', 'untuk', 'anak', 'beberapa', 'penjual', 'menjajakan', 'dagangannya', 'di', 'area', 'alun', 'alun']","['alun', 'alun', 'kota', 'bersih', 'playground', 'anak', 'penjual', 'menjajakan', 'dagangannya', 'area', 'alun', 'alun']",alun alun kota bersih playground anak jual jaja dagang area alun alun,3,Positif
2 tahun lalu,"Alun- alunya luas dan nyaman lokasinya bersebelahan dengan pusat pemerintahan wonosobo dan masjid agung wonosobo, banyak penjual di sekitar alun² yang dapat di beli untuk memajukan umkm daerah tapi jangan lupa buang sampah pada tempatnya, …",Alun alunya luas dan nyaman lokasinya bersebelahan dengan pusat pemerintahan wonosobo dan masjid agung wonosobo banyak penjual di sekitar alun yang dapat di beli untuk memajukan umkm daerah tapi jangan lupa buang sampah pada tempatnya ,alun alunya luas dan nyaman lokasinya bersebelahan dengan pusat pemerintahan wonosobo dan masjid agung wonosobo banyak penjual di sekitar alun yang dapat di beli untuk memajukan umkm daerah tapi jangan lupa buang sampah pada tempatnya ,alun alunya luas dan nyaman lokasinya bersebelahan dengan pusat pemerintahan wonosobo dan masjid agung wonosobo banyak penjual di sekitar alun yang dapat di beli untuk memajukan umkm daerah tapi jangan lupa buang sampah pada tempatnya,"['alun', 'alunya', 'luas', 'dan', 'nyaman', 'lokasinya', 'bersebelahan', 'dengan', 'pusat', 'pemerintahan', 'wonosobo', 'dan', 'masjid', 'agung', 'wonosobo', 'banyak', 'penjual', 'di', 'sekitar', 'alun', 'yang', 'dapat', 'di', 'beli', 'untuk', 'memajukan', 'umkm', 'daerah', 'tapi', 'jangan', 'lupa', 'buang', 'sampah', 'pada', 'tempatnya']","['alun', 'alunya', 'luas', 'nyaman', 'lokasinya', 'bersebelahan', 'pusat', 'pemerintahan', 'wonosobo', 'masjid', 'agung', 'wonosobo', 'penjual', 'alun', 'beli', 'memajukan', 'umkm', 'daerah', 'lupa', 'buang', 'sampah', 'tempatnya']",alun alu luas nyaman lokasi bahan pusat perintah wonosobo masjid agung wonosobo jual alun beli maju umkm daerah lupa buang sampah tempat,4,Positif
sebulan lalu,Gelap dan ga ada tulisan iconic nya,Gelap dan ga ada tulisan iconic nya,gelap dan ga ada tulisan iconic nya,gelap dan tidak ada tulisan iconic ya,"['gelap', 'dan', 'tidak', 'ada', 'tulisan', 'iconic', 'ya']","['gelap', 'tulisan', 'iconic', 'ya']",gelap tulis iconic ya,-4,Negatif
setahun lalu,"Kalau lagi ada acara penuh sesak, tapi jikaa tidak alun - alun Wonosobo enak buat nyantai bersama keluarga",Kalau lagi ada acara penuh sesak tapi jikaa tidak alun  alun Wonosobo enak buat nyantai bersama keluarga,kalau lagi ada acara penuh sesak tapi jikaa tidak alun  alun wonosobo enak buat nyantai bersama keluarga,kalau lagi ada acara penuh sesak tapi jikaa tidak alun alun wonosobo enak buat nyantai bersama keluarga,"['kalau', 'lagi', 'ada', 'acara', 'penuh', 'sesak', 'tapi', 'jikaa', 'tidak', 'alun', 'alun', 'wonosobo', 'enak', 'buat', 'nyantai', 'bersama', 'keluarga']","['acara', 'penuh', 'sesak', 'jikaa', 'alun', 'alun', 'wonosobo', 'enak', 'nyantai', 'keluarga']",acara penuh sesak jikaa alun alun wonosobo enak nyantai keluarga,6,Positif
4 bulan lalu,kota Wonosobo termasuk kota yang memiliki keindahan alam dengan latar belakang gunung Sindoro sumbing dan memiliki alun alun yang asri serta lengakap dengan pasilitas publik yang mendukung,kota Wonosobo termasuk kota yang memiliki keindahan alam dengan latar belakang gunung Sindoro sumbing dan memiliki alun alun yang asri serta lengakap dengan pasilitas publik yang mendukung,kota wonosobo termasuk kota yang memiliki keindahan alam dengan latar belakang gunung sindoro sumbing dan memiliki alun alun yang asri serta lengakap dengan pasilitas publik yang mendukung,kota wonosobo termasuk kota yang memiliki keindahan alam dengan latar belakang gunung sindoro sumbing dan memiliki alun alun yang asri serta lengkap dengan fasilitas publik yang mendukung,"['kota', 'wonosobo', 'termasuk', 'kota', 'yang', 'memiliki', 'keindahan', 'alam', 'dengan', 'latar', 'belakang', 'gunung', 'sindoro', 'sumbing', 'dan', 'memiliki', 'alun', 'alun', 'yang', 'asri', 'serta', 'lengkap', 'dengan', 'fasilitas', 'publik', 'yang', 'mendukung']","['kota', 'wonosobo', 'kota', 'memiliki', 'keindahan', 'alam', 'latar', 'gunung', 'sindoro', 'sumbing', 'memiliki', 'alun', 'alun', 'asri', 'lengkap', 'fasilitas', 'publik', 'mendukung']",kota wonosobo kota milik indah alam latar gunung sindoro sumbing milik alun alun asri lengkap fasilitas publik dukung,13,Positif
