steming_data,Score,Sentiment
ciri khas kota dingin wonosobo,7,Positif
aman sehat rapi indah wonosobo,10,Positif
tunggu bus tuyul arah dieng tunggu jam jam bus terima kasih jual halte bus alun info bantu cegat bus ya moga allah lancar rezeki bpkaamiin yra,14,Positif
cocok asuh sayang,10,Positif
nyaman track dar jalan kaki larilari luas piknik bareng teman keluarga pagi udara segar pol parkir free belah utara pendopo pas,13,Positif
bayar buruh ngarit jalan jalan alun alun wonosobo anak istri,1,Positif
alun alun wonosobo kesini sabtu kemarin sore jogging dar isi weekend,2,Positif
alunalunnya luas pohon rindang pinggir keliling tukang jajan makan ringan berat jual es minum spot cocok jalan sore cari jajan bawa gebetan ngobrolngobrol lucu hahaha,-3,Negatif
lokasi tempelsari kertek,0,Netral
alun alun indah republik indonedia,3,Positif
okbanget bersih asik joggingdan olahraga bola karate basketsatria nusantara bebas sampah,-1,Negatif
seru banget santai kumpul keluarga odongodong kudakudaan mobilmobilan motor listrik ngemong anak jajan suasana nyaman slow down rutinitas,17,Positif
sarap,3,Positif
asri tenan,4,Positif
olahraga segar,4,Positif
alun alun wonosobo,0,Netral
rapi bersih,6,Positif
kota enak sejuksangat nyaman,8,Positif
april free,3,Positif
kembang,3,Positif
layan posyandu balita,2,Positif
alun alun tanggung kubur,-2,Negatif
mohon kelola tambah banyak sampah buat jalur wahana main pejal kaki,4,Positif
acara penuh sesak alun alun wonosobo enak santai keluarga,8,Positif
tempat luas bersih,3,Positif
mampir shalat masjid agung alun alun wonosobo,9,Positif
luas main anak,6,Positif
good enak wisata anak,10,Positif
nongkrong nyaman lumayan dingin,9,Positif
masakan jadulharga murah enak,11,Positif
asik nongkrong malam,3,Positif
tenang sepi macet sejuk,2,Positif
letak kota pohon,-5,Negatif
alun alun bagus sekalidari segi mana oke cantik sejuk luas tertib enak anak anak,14,Positif
tanah air nyaman kota,2,Positif
tempat keren langsung view gunung,3,Positif
adem nyaman,6,Positif
nyaman santai olahraga susah menyebrang jalan motor kencang kencangserem,6,Positif
ya keren,3,Positif
bersih bagus,5,Positif
penuh banget pas acara puncak festival mudik balon udara,-7,Negatif
posisi malam weekend sepi jual goba suasana rindang banyak pohon teduh bangku taman susah cari parkir rambu larang,-5,Negatif
keren ramah,8,Positif
bagus adem nyaman,8,Positif
sejuk indah,3,Positif
jajan kuliner alun alun wonosobo banget jajan enak murah loh,8,Positif
enak luas adem,10,Positif
populer wonosobo ramai kunjung sore pekan fasilitas suasana dingin kenal mie ongklok mie ongklok makan asli wonosobo mie bahan utama,24,Positif
bersih asri kuliner ampun mie ongklok,8,Positif
sengaja mampir alun alun saudara pasar kertek tempat luas adem anak anak senang lari lari rumput main anak anak sewa harga,12,Positif
mohon maaf banyak orang kendara motor listrik alun alun sulit pejal kaki bawa anak khawatir barangkali tabrak guna motor listrik lintas khusus terimakasih,12,Positif
wonosobo asri,4,Positif
jorok kotor,-10,Negatif
tempat ramai asik kumpul kumpul,4,Positif
suasana dingin favorit,8,Positif
coba mie ongklok,2,Positif
kumpul ramai,3,Positif
ruang rekreasi keluarga olahraga,1,Positif
suasana alun alun ramaidan bagushanya jalan sempit,2,Positif
ramah,5,Positif
alun alun wonosobo salah baik indonesia pohon beringin kitar alun alun,-5,Negatif
nyaman,4,Positif
aneka jajan main anak anak tanah lapang luas,12,Positif
tarik,2,Positif
kota lumayan ramai cocok duduk santai dar jajan cilok main anak anak cocok asuh anak makan jual harga jangkau variasi lumayan,22,Positif
sate mana malam alun alun wonosobo tonton balon udara ramai banget pas acara balon udara,-7,Negatif
jalan bekas wonosobo jogja,4,Positif
tempat awat rumput liar sampah sera mana sore pagi ramai warga olahraga,4,Positif
balon udara keren,-1,Negatif
apik asri udara segar,4,Positif
balon udara ya terbang,-4,Negatif
muas,5,Positif
festival,0,Netral
ya luas kabar ya bsi buka kantor wonosobo keren nih,11,Positif
orang jajan udara dingin,0,Netral
adem enak murah murah,13,Positif
makan alun alun wonosobo mie ongklok,1,Positif
tempat sejuk nyaman asri,5,Positif
kesana acara balon udara alun alun ya bersih,-1,Negatif
acara festival balon udara kecewa sih bagus lapang wringinanom balon udara terbang mleyot,-3,Negatif
tata alun alun kota rapi wisata kuliner,5,Positif
keren,3,Positif
kesini festival balon udara kapok sih susah banget parkir hadap laut manusia,-6,Negatif
raya balon wonosobo riah datang wisatawan daerah sayang keluh akses jalan luas wonosobo jadi kota macet parah,2,Positif
bagus ngadem jogging kuliner sayang dagang peduli bersih lingkung andal tugas,16,Positif
pas acara balon udara sip sih hibur pulang kampung,-1,Negatif
alun alun baik indonesia,3,Positif
penuh kenang wonosobo rumah jakarta,3,Positif
asik ya alun alun wonosobo pujasera layar lcd aneka jajan kaki hawa dingin kesini ut tonton acara puncak festival balon udara,-4,Negatif
acara balon,0,Netral
tempat bersih cocok santai tani sih main jual makan,11,Positif
kuliner salah satu mie ongklok khas wonosobo mienya enak pas banget manis gurih sate kambing empuk porsi plus sate harga ribu kuliner sewa sepeda listrik mobil listrik anak anak jual main,31,Positif
kes pas festival balon udarapengunjungnya full padat rakyat,6,Positif
sejuk dingin damai indah recommended,7,Positif
kota lihat gunung sumbing gunung sindoro teduh kuliner,0,Netral
tempat sejuk pohon keliling,-7,Negatif
alun alun wonosobo tempat enak sejuk rimbun pohon santa minggu maenan anak anak jajan kuliner harga jangkau,1,Positif
lepas penat kuliner lanjut jalan,4,Positif
bareng keluarga ceria nikmat festival balon wonosobo peristiwa kenang,19,Positif
mantap senang wisata kuliner alun alun dar jalan alun alun wonosobo pohon pohon rindang sejuk senang,7,Positif
tempat nyaman josss pokoke,1,Positif
tonton balon udara,-8,Negatif
jajan variatif,0,Netral
festival balon udara,-4,Negatif
ramai balon lur mantap jiwa,8,Positif
salah ruang publik baik kota wonosobo,-5,Negatif
alun alun wonosobo,0,Netral
alun alun wonosobo lihat festival balon keren sih ya luas bagus,11,Positif
alhamdulillah tempat bersih sejuk orang orang ramah ramah pilih kuliner,13,Positif
kesini acara festival balloon alun alun ya standar alun alun pusat kota strategis moga jaga asri,7,Positif
tempat asti orang ramah ramah,7,Positif
wonosobo asri is the best pokok,7,Positif
ruang buka akses orang nyaman bersih,9,Positif
main makan bersih tingkat,8,Positif
sejuk nyaman asri,8,Positif
ramai teduh orang jual jajan betah,6,Positif
ramai padat alun alunsuasana kayak pasar dada,0,Netral
ramai parkir aga susah,1,Positif
kesini ramai ya pas malam siang full kuliner wonosobo wajib mampir alun alun,5,Positif
aman indah tawan,3,Positif
senang kunjung kesini suasana teduhnyaman aneka kuliner lokal enak harga jangkau,23,Positif
wonosobo asri,4,Positif
santai cari kuliner main anak,2,Positif
sholat idul fitri mudik,2,Positif
jarang tukang jajan malam kesana,-3,Negatif
kesini beli lekuk tempe kemul,2,Positif
daerah asri orang ramah ramah,14,Positif
cocok ajak keluarga santai santai sore nikmat jajan sekitar alun alun lupa coba mie ongklok ya pilih,17,Positif
alun alun ramai banding alun alun singgah jateng lengkap dagang kaki sekitar nyaman dagang asong cocok santai keluarga,20,Positif
asri bersih,7,Positif
wonosobo kesini,0,Netral
suka mie ongkloknya gerobak pohon hehehe ya lingkung sampah sera kurang peduli unjung buang sampah tempat jual banyak sosis bakar jenis seru bawa anak kesini sewa sepeda dll,-7,Negatif
bercengkrama sanak keluarga saudara handai taul rapi bersih jaja makan tradisional aneka kuliner gugah selera balut hawa dingin kesan jadi kenang hidup,23,Positif
ramai dagang beli makan khas wonosobo mie ongklok sate enak banget,15,Positif
kaya wajib kesini wonosobo anak lengkap banget main makan murah,9,Positif
mantap ramai,8,Positif
luas ramai sejukcuma minim sampah cuci tangan,0,Netral
pakai topi siangsiang panas banget gratis hibur anak,8,Positif
ya bersih awat,8,Positif
kuliner enak murah,8,Positif
cocok banget main keluarga,11,Positif
bersih jaga,5,Positif
ramai dagang mie ongklok bakso mie ayam jajan jajan ala korea tempat awat rumput ya,8,Positif
ramai pas libur dagang kaki alfa midi ramai,12,Positif
alun alun ya luas parkir gampang gratis jajan minum enakenak kota suasana ya ramai sewa mobil aki mie ongklok ya mantap pol,18,Positif
sih udara sejuk lingkung nyaman libur,3,Positif
parkir gratismakanan murah ademtempat nyaman,8,Positif
ramai kuliner main dsb sampah jarang temu pinggir sampah sampah makan cecer kotor,-15,Negatif
alam asri,6,Positif
alun alun wonosobo lumayan ramai lumayan ajak main anak anak kuliner mie ongklok khas wonosobo salah,9,Positif
the best,0,Netral
cocok main anakanakbanyak jajananmie ongkloksate ayambatagor,7,Positif
sejuk bersih nyaman aman,7,Positif
kota fungsi warga,-1,Negatif
kabupaten luas kunjung,6,Positif
putar putar alun alun tutup utara putar,-2,Negatif
lcd hancur langsung ganti tunggu,7,Positif
tempat bagus udara dingin,-1,Negatif
cat mantap rapi kwalitas bagus bahan cat bagus,9,Positif
tempat adem pusat kota,1,Positif
nyaman adem ayem asri,10,Positif
alun alun bagus bersihtapi sayang pinggir jalan raya alun alun umkm jual bikin kesan kumuh berantakanmungkin pemkab wonosobo fasilitas dagang jual layak komplek biar kawasan alun alun wonosobo amannyamanbersih rapi,7,Positif
parkir gratis mudah kunjung nyaman mana,16,Positif
wonosobo nyaman olahraga dar dudukduduk,4,Positif
bersih asri,7,Positif
alun alun wonosobo indah kotor burung lembab bau,-6,Negatif
kotor burung ya bau bersih,-6,Negatif
ruang publik buka sarana olahraga pagi sejuk nyaman nikmat udara pagi putar jogging bergowes ria,7,Positif
bagus cocok santai bareng bareng keluarga,18,Positif
alun alun wonosobo indah sejuk,3,Positif
suasana asik pagi olahraga seru sayang spot cium bau air seni lumayan ganggu aktivitas rindang bersih sih tempat lumayan enak santai,20,Positif
alun alun ramai,3,Positif
cocok istirahat bingung bawa anak mana,3,Positif
situ,0,Netral
mantap adem enak biar santa keluarga main moga lancar aman wonosobo asri,28,Positif
pangandaran mampir alun alun wonosobo berr udara ya sejuk,-2,Negatif
ramai,3,Positif
wajib kunjung wonosobo,1,Positif
lingkung ramah nyaman cocok cari angin bareng keluarga teman adem ya wonosobo cuman susah sinyal kota khusus biar kesana obrol main hp,18,Positif
hibur,0,Netral
sampah viewnya bagus,-2,Negatif
indah sejuk,3,Positif
bagi alun alun wonosobo alun alun asri indah dingin nyaman istimewa terrindang sejuk inti nuansa beda lihat gambar wonosobo kota asri pohon beringin bikin muka wonosobo sejuk intine wonosobo ngangeni eram,19,Positif
main anak kecilbagus,3,Positif
purwokerto wonosobo wonosobo alun alun wonosobo,0,Netral
bersih asri,7,Positif
nyaman tempat,1,Positif
alamat baru,0,Netral
ngumpul,0,Netral
nyaman main,7,Positif
bagus rapi bersih sejuk,8,Positif
keren bagus,5,Positif
alun alun wonosobo kaget banget pas sana menyebrang polisi sigap nyebrangin masyarakat sana sewa kendara sepeda listrik mobil mobil jual hamster jajan makan lapang luas tingkat sararana prasarana ya terimakasih,26,Positif
ramah unjung jaja kuliner lokal wajib kunjung cari istirahat area dieng,1,Positif
tata ya humanis jadi alun alun nyaman santa bercengkrama cari inspirasi top pokok,10,Positif
pusat perintah kabupaten wonosobo pusat kota mana pendopo bupati alun alun pendopo lengkap fasilitas taman keluarga jogging,14,Positif
pusat ramai area kantor perintah kabupaten wonosobo,6,Positif
tempat sejuk adem cocok rekreasi,3,Positif
libur main,6,Positif
fungsional titik kumpul acara fungsi sarana olahraga masyarakat minggu,-3,Negatif
kesini banyak aktivitas tema kaki pijat telapak kaki batu halaman mengayunayunkan kaki ikut irama musik senam jalan,8,Positif
bantu orang temu alamat,5,Positif
alun alun wonosobo,0,Netral
keren ya adem sejuk,5,Positif
tempat sejuk indah,0,Netral
rekomen dar refresh makan enak enak bersih,16,Positif
sejuk asyik jogging teman indah pandang gunung sindoro,4,Positif
kota jawa hawa sejuk lingkung tenang ramah alun alun bersih awat rapi gedung perintah masjid agung jam wonosobo,19,Positif
tenang riah,8,Positif
nyaman ramah anak anak fasilitas ruang publik lengkap,10,Positif
ajak anak main sore cari toilet,1,Positif
tempat nyaman dingindingin,1,Positif
tenang adem senang,12,Positif
nyaman olahraga jogging senam dll,4,Positif
nyaman main anaktapi sampah banyakkalau buang sampah cari tempat,-10,Negatif
adem asri,6,Positif
pergi daerah kepil daerah atas gunung asri bersih udara,0,Netral
wilayah mampir alun alun wonosobo purwokerto dieng bagus alun alun favorit cirebon layak bawa bersenangsenang,8,Positif
main hujan,4,Positif
alam cod polres,2,Positif
adem enak nyantuyy,7,Positif
tempat bersih udara lumayan sejuk pas banget refreshing keluarga teman cocok olahraga jogging dsb,8,Positif
jajah duduk lihat,-2,Negatif
suasana indah pagi cocok suka jogging dar main,17,Positif
mantap libur,8,Positif
makan enak kamu ganteng alun alun nasi megono enak murah banget lupa ramai,24,Positif
ya nyaman cocok main anak khusus ya keluarga rekreasi cocok,19,Positif
suasana enak jogging pusat jajan,12,Positif
nyaman bermaincocok santa,4,Positif
suka sih jogging nongkrong masjid pustaka belah taman cocok istirahat belah food court ramah kantong lokasi bank pusat kota,11,Positif
maaf perintah lapang injak dana baik jual warga bolehin kasihan luntang lantung pinggir,13,Positif
baik baik sanasini,6,Positif
penuh cerita nyaman dar jalan jalan habis keluarga nikmat kuliner murah enak,24,Positif
sejuk jalan bersih jajan warung makan pinggir jalan,0,Netral
jalan jalan sore anak istri,0,Netral
asri adem,6,Positif
nyaman sejuk jajan,4,Positif
sayang kesitu pas hujan jajan jajan stand by apresiasi,7,Positif
bersih rapi indah sejuk,9,Positif
jawa,0,Netral
tingkat tipe a,1,Positif
bagus nyaman parkir kayak bayar,5,Positif
bersih alun alun jual,4,Positif
tarik indah,5,Positif
asik nih jalan jalan ayang beb,4,Positif
sejuk bersih enak refreshing bareng keluarga,15,Positif
keliling pohon beringin keliling batu pijak refleksi jalan lingkar keliling wonosobo pagi alas kaki cuaca cerah segar hawa udara sejuk jalan,-6,Negatif
lumayan kotor sempit isi jajan main anak enak duduk pustaka asri tenang,17,Positif
wisatawan,0,Netral
ya nyaman kualitas udara bersihcuaca habis hujan jajan sekotengwuihnikmat,8,Positif
bagus indah,5,Positif
wonosobo kesan,0,Netral
oke cocok anak anak,6,Positif
recommended santa keluarga area bersih awat udara segar sejuk parkir mudah akses,19,Positif
lapang nikmat rumput ya oke layak alun alun kota,13,Positif
asrinyamansuasana ramaisejukindah pandangngangenin,0,Netral
ngopi emper pergi,1,Positif
hibur cocok anak anak,4,Positif
bersih sejuk,3,Positif
tempat nyaman pohon,-3,Negatif
kota asri,3,Positif
tempat sejuk adem cocok merefresh pikir jenuh,4,Positif
tempat luas nyaman kuliner kuliner ya,4,Positif
layan harga servis murah murah,14,Positif
puas banget hasil ya,6,Positif
nunut istirahat,-2,Negatif
suasana sejuk parkir aman bersih pagipagi makan nasi megono seberang,8,Positif
parkir gratis masjid,8,Positif
rindang pohon,-4,Negatif
si,0,Netral
bawa ingat kecilmasih asri,7,Positif
bersih banget masjid alun alun,6,Positif
lumayan santai refresh keluarga,9,Positif
luas enak nongkrong,8,Positif
datang malam kerja sepi,-8,Negatif
ok ok,8,Positif
adem duduk ramah ramah hibur lumayan,13,Positif
asri nan indah,7,Positif
kecil ku jalan,-3,Negatif
keren cantik,5,Positif
tempat bersih nyaman,4,Positif
sejuk teduh bersih,5,Positif
damai syahdu,3,Positif
alun alun wonosobo rimbun asri siang pakai aktivitas aktivitas olahraga lapang basket pendopo karate kadang pakai lomba sepak bola sewa main anak saran ada foodcourt serta toilet salah sisi lapang biar ramai,20,Positif
bagus ramai lancar,9,Positif
taman indah sejuk ramai orang kunjung santa jogging pagi sore,10,Positif
wonosobo asri,4,Positif
alun alu bagus street food,2,Positif
bikin rindu,2,Positif
kota suhu dingin orangorangnya ramah makan murah enak,17,Positif
hawa enak sejuk,1,Positif
asikasrinyaman makan oke kesini,3,Positif
pulang dieng mampir alun alun wonosobo tempat bagus indah sejuk asri makan nasi megono goreng tempe beli serabi bagus keluarga desember,20,Positif
cocok olahraga minggu,4,Positif
salah bersih rapi indonesia favorit banget makan mie ongklok,3,Positif
alun alun wonosobo takjub indah alam suasana tenang pohon rindang lapang buka fasilitas bersih jadi sempurna santa alam kota,30,Positif
kota damai tertib rapi,6,Positif
pusat kab wonosobo nih olahraga acara pesta rakyat kabupaten duwe gawe pusat jajan khas wonosobo allure pujasera bank atm gedung serbaguna arpusda lagicuma,14,Positif
lumayan transit dieng,1,Positif
lokasi seberang masjid jam wonosobo fasilitas taman main pendopo jual makan dagang kaki,8,Positif
malam singgah wonosobo lumayan dingin,2,Positif
numpang,0,Netral
view pengunungan keliling ya makan minggu pagi coba sarap nasi menggono ya jalan muterin alun alun dar duduk obrol ngelamun,8,Positif
kuliner wonosobo salah satu bebek selamat kunjung dieng intip ig ann hendriana fb annhendriana terimakasih,12,Positif
pas konser sana pokok ya seru jual makan,13,Positif
alun alun wonosobo tempat enak sejuk rimbun pohon santa minggu main anak anak jajan kuliner harga jangkau,4,Positif
adem nyaman masyarakat ramah,11,Positif
bagus asri unjung jaga bersih,11,Positif
mantap bos,8,Positif
adem santai nyaman nongkrong arus jalan arah hindar macet lumayan dagang keliling alun alun,10,Positif
ramai wisata keluarga sekitar wonosobo,7,Positif
dingin dingin sejuk matap bagus tenang wonosobo asri banget,19,Positif
menariknyaman asri,4,Positif
nyaman sejuk cocok pakai jalan santai jogging,10,Positif
bersih asri,7,Positif
seru buru makan jajan murah murah enak,18,Positif
masuk menu utama,0,Netral
keren sambut pemda pikir hibur rakyat ya,7,Positif
bagus ramai temu teman,7,Positif
adem kuliner wonosobo coba main anak anak sewa anak anak betah main,10,Positif
bagus enak nongkrong,7,Positif
pekan ramai pusat kuliner wonosobo,6,Positif
bagus,2,Positif
keren banget asri bikin kangen,10,Positif
asuh anak jajan khas wonosobo,7,Positif
bersih rapi,6,Positif
wonosobo kota dingin makan enak,9,Positif
sejuk bersih wonosobo asri,7,Positif
gabut purwokerto kesini cari tulis wonosobo nemu,-10,Negatif
kesini lupa beli dawet durian mantap murah riah,14,Positif
makan jangkau rekomendasi makan ayam katsu nasi goreng,5,Positif
bagus,2,Positif
sejuk nongkrong coba upgrade alun ya kayak jawa barat,-1,Negatif
ya sewa main tukang jajan alun alun masjid agung wonosobo gereja,4,Positif
bagus alun alun main cocok ajak anak main sana,13,Positif
jajah duduk melihatlihat,-5,Negatif
layan simpel cepat nyaman bagus,14,Positif
escape baik jogging asuh anak jajan main anak,9,Positif
